Date,Infected,Confirmed,Tested,Susceptible,Active,Active/Infected,Recovered,Recovered/Infected,Deaths,Deaths/Infected
1-Apr,1992,280,2011,0.139234212,227,0.113955823,48,0.024096386,5,0.00251004
2-Apr,2244,284,2002,0.141858142,252,0.112299465,29,0.012923351,3,0.001336898
3-Apr,2553,336,2936,0.114441417,309,0.121034078,21,0.008225617,6,0.002350176
4-Apr,2857,371,3436,0.107974389,304,0.10640532,61,0.021351068,6,0.002100105
5-Apr,3178,351,1757,0.199772339,321,0.101006923,24,0.007551919,6,0.00188798
6-Apr,3412,234,1533,0.152641879,234,0.068581477,-3,-0.00087925,3,0.00087925
7-Apr,3748,374,9139,0.040923515,336,0.089647812,36,0.009605123,2,0.000533618
8-Apr,4273,536,6187,0.086633263,525,0.122864498,4,0.00093611,7,0.001638193
9-Apr,4857,594,2889,0.205607477,584,0.120238831,2,0.000411777,8,0.001647107
10-Apr,5449,637,4384,0.145301095,592,0.108643788,33,0.006056157,12,0.002202239
11-Apr,6027,701,6120,0.114542484,578,0.095901775,110,0.018251203,13,0.00215696
12-Apr,6551,519,2490,0.208433735,524,0.079987788,-14,-0.002137078,9,0.001373836
13-Apr,6823,296,1321,0.224072672,272,0.039865162,15,0.002198446,9,0.001319068
14-Apr,7255,505,10849,0.046548069,432,0.059545141,59,0.008132323,14,0.001929704
15-Apr,7745,558,4685,0.119103522,490,0.063266624,52,0.006714009,16,0.002065849
16-Apr,8225,562,6467,0.086902737,480,0.058358663,64,0.007781155,18,0.00218845
17-Apr,8686,558,5669,0.098430058,461,0.053073912,84,0.009670735,13,0.001496661
18-Apr,9192,589,5159,0.114169413,506,0.055047868,65,0.007071366,18,0.001958225
19-Apr,9197,364,1285,0.283268482,5,0.000543656,340,0.036968577,19,0.002065891
20-Apr,9434,343,3909,0.087746227,237,0.0251219,86,0.009115964,20,0.002119992
21-Apr,9378,383,7825,0.048945687,-56,-0.005971422,412,0.043932608,27,0.002879079
22-Apr,9726,398,6037,0.065926785,348,0.035780382,30,0.003084516,20,0.002056344
23-Apr,9758,434,5396,0.080429948,32,0.003279361,374,0.038327526,28,0.00286944
24-Apr,10079,381,5617,0.067829802,321,0.031848398,51,0.005060026,9,0.000892946
25-Apr,10235,320,5854,0.054663478,156,0.015241817,145,0.014167074,19,0.001856375
26-Apr,10256,213,1620,0.131481481,21,0.002047582,177,0.01725819,15,0.001462559
27-Apr,10194,170,1618,0.105067985,-62,-0.006082009,210,0.020600353,22,0.002158132
28-Apr,10089,283,9854,0.028719302,-105,-0.010407374,370,0.036673605,18,0.001784121
29-Apr,10075,219,3709,0.059045565,-14,-0.001389578,215,0.02133995,18,0.0017866
30-Apr,9996,193,1354,0.14254062,-79,-0.007903161,245,0.024509804,27,0.00270108
1-May,9822,273,8541,0.03196347,-174,-0.017715333,418,0.042557524,29,0.002952555
2-May,9929,304,7377,0.041209164,107,0.010776513,172,0.017322993,25,0.002517877
3-May,9913,198,1724,0.114849188,-16,-0.001614042,191,0.019267628,23,0.002320186
4-May,9886,167,1335,0.125093633,-27,-0.002731135,175,0.017701801,19,0.00192191
5-May,9366,125,1757,0.071143995,-520,-0.055519966,635,0.06779842,10,0.001067692
6-May,9185,101,2584,0.039086687,-181,-0.019706042,271,0.029504627,11,0.001197605
7-May,7813,98,1103,0.088848595,-1372,-0.175604761,1459,0.186740049,11,0.00140791
8-May,7186,89,11983,0.007427189,-627,-0.087252992,701,0.097550793,15,0.002087392
9-May,6857,114,9984,0.011418269,-329,-0.047980166,425,0.061980458,18,0.002625055
10-May,6652,69,2259,0.030544489,-205,-0.030817799,262,0.039386651,12,0.001803969
